Text,Topic,Language
"Great work 👌👌👌","art","ENGLISH "
"👏👏","art","ENGLISH "
"Look futuristic! Amazing photo!","art","ENGLISH "
"Amazinggg💜💜","art","ENGLISH "
"Wow👍👏. i love ur drawing so much❤️❤️❤️💗👏","art","ENGLISH "
"I love😍😍😍","art","ENGLISH "
"😍😍😍😍😍😭😭😭😭😭😭😭god","art","ENGLISH "
"So good. I fell in love with the your drawing. Omg🧡😍","art","ENGLISH "
"Nice","art","ENGLISH "
"As I had a look at your account, I liked your recent photos more 😊 very good 👏","art","ENGLISH "
"💓💓💓","art","ENGLISH "
"Hey! We love your page! DM us, lets get you a watch! 😊","art","ENGLISH "
"😍😍😍😍😍","art","ENGLISH "
"טיל. פשוט מעולה","art","HEBREW "
"איזה יופי,ממקסים","art","HEBREW "
"אין דברים כאלה אחי","art","HEBREW "
"👌👌👌👌👌👌","art","ENGLISH "
"שלמות🔝🌻🌻📸🔝🔝","art","HEBREW "
"אחד המשוגעים אתה😱!! מדהים!!","art","HEBREW "
"👏👏 belo 🌼🌼🌼🙏","art","ENGLISH "
"That is absolutely wonderful😍😍😍🌻🌻🌻","art","ENGLISH "
"😯😯😯😯😯😯😯😯","art","ENGLISH "
"💛Wanderful shot 💚👌😍😍😍😍","art","ENGLISH "
"Preciosaaaa!!","art","SPANISH "
"👌👌👍","art","ENGLISH "
"Wonderful ! 💚💙💚🔝","art","ENGLISH "
"Wonderful!!!😍","art","ENGLISH "
"soo stun","art","ENGLISH "
"Beautiful😍👏","art","ENGLISH "
"🔥","art","ENGLISH "
"+++","art","ENGLISH "
"Beautiful😍","art","ENGLISH "
"מקסים 😍😍","art","HEBREW "
"מטריף אוהב את הצהוב הזה","art","HEBREW "
"וואוו וואוו🤩🙌","art","HEBREW "
"יאווו פגז","art","HEBREW "
"Fantastic shot!💫🌻👌🏼🌻💫","art","ENGLISH "
"מדהים","art","HEBREW "
"לא נכוןןןןן!!! וואוווו!!! 😱😱","art","HEBREW "
"מצאת בסוף את האוצר! פגז!!!","art","HEBREW "
"ואוו🔥","art","HEBREW "
"אלוףב בפעולה","art","HEBREW "
"ווואי וואי וואייי😍😍","art","HEBREW "
"וואו😍","art","HEBREW "
"מעולפת פה. ביי","art","HEBREW "
"Absolute epic 👌","art","ENGLISH "
"מהמם אחי","art","HEBREW "
"How 👌 nice 👏","art","ENGLISH "
"🌻🌻🌻🌻🌻","art","ENGLISH "
"Very nice!!","art","ENGLISH "
"😍","art","ENGLISH "
"Îm very proud and happy to be with Jenny Boot , I ‘ love  her work !","art","ENGLISH "
"💛💛💛","art","ENGLISH "
"Very beautiful photograph! Outstanding!","art","ENGLISH "
"👌👌👌","art","ENGLISH "
"Ommgfgggggg amazing👏👏👏👏👏","art","ENGLISH "
"Omg Lisaaa it's Soo good 😭😭🥰🥰😍😍😍","art","ENGLISH "
"Wonderfulllll😱😲😍😍😍😭😫😫😫","art","ENGLISH "
"Stupendo!","art","ITALIAN "
"I LOVE IT ❤️❤️❤️❤️❤️❤️❤️❤️❤️ 👏👏","art","ENGLISH "
"very interesting picture! 🆒","art","ENGLISH "
"This one is My favorite of all ❤️","art","ENGLISH "
"👌👌👌👌😁","art","ENGLISH "
"Wowww! Amazing 😱😍😭🖤","art","ENGLISH "
"Nice account also take a look at our acc🌸 and please check our post en Comment under the post what we should post more / what you think of our account","art","ENGLISH "
"😍😍 stunning","art","ENGLISH "
"😭😭💛💛","art","ENGLISH "
"Omg","art","ENGLISH "
"I love it","art","ENGLISH "
"😍😍","art","ENGLISH "
"😍😍😍😍","art","ENGLISH "
"Che forteee 💜","art","ITALIAN "
"ma sei seria ma che figata","art","ITALIAN "
"Very cool","art","ENGLISH "
"🤗","art","ENGLISH "
"❤️❤️❤️❤️❤️","art","ENGLISH "
"É bellissimo,lo abbiamo visto nelle storie e faremo sicuro una tappa quando andiamo!😊","art","ENGLISH "
"These are lovely! Glad y’all enjoyed your time there!","art","ENGLISH "
"Appena atterrata e già innamorata ❤️❤️❤️❤️❤️","art","ITALIAN "
"Wooooow😍😍😍😍😍","art","SOMALI "
"Non ne sapevo nulla!!! Che scoperta😍","art","ITALIAN "
"ma che posto è 😍","art","ITALIAN "
"👍👍👍","art","ENGLISH "
"Hai ragione vedo proprio magia intorno a te 😍","art","ITALIAN "
"Love it😍","art","ENGLISH "
"Ma che cos’è ❤️😍😍😍","art","ITALIAN "
"Stunning photo! We’d love to send you a  product to test💘 DM US if you’re interested!","art","ENGLISH "
"Bellissimo 😃 grazie perchè non conoscevo assolutamente questo posto","art","ITALIAN "
"Belle belle 😍","art","FRENCH "
"Your photos are so good! 😊","art","ENGLISH "
"😍💙","art","ENGLISH "
"Che meraviglia di posto 💙✨","art","ITALIAN "
"Che bello Philadelphia ci ispira tantissimo","art","ITALIAN "
"Io mi sono innamorata di questo posto","art","ITALIAN "
"😵","art","ENGLISH "
"Wow che posto magnifico! Non lo conoscevo!","art","ITALIAN "
"Ho adorato quel posto! Mamma mia 😍😍😍😍","art","ITALIAN "
"Ma che belle foto Diana😃","art","ITALIAN "
"Beautiful shots of a beautiful space!","art","ENGLISH "
"Fantastico Diana 😍","art","ITALIAN "
"Bellissimo scatto e tu sempre perfetta 👏🤩","art","ITALIAN "
"Che serie magnifica, Dani! 🙌","art","ITALIAN "
"Davvero interessante Diana! Sembra un luogo così colorato❤️","art","ITALIAN "
"Quanta ispirazione 😍❤️","art","ITALIAN "
"Gorgeous 🔥","art","ENGLISH "
"Che meraviglia questo album 💙","art","ITALIAN "
"❤️❤️","art","ENGLISH "
"Wow 🔥dm us your video for promotion 🔥","art","ENGLISH "
"good vide","art","ENGLISH "
"Breathtaking one","art","ENGLISH "
"Vaya foton,🤩","art","SPANISH "
"#picoftheday","art","ENGLISH "
"❤️","art","ENGLISH "
"This shot feels so lovely..","art","ENGLISH "
"Gözlük taktı edebiyatçı kesildi başımıza 😂","art","TURKISH "
"How perfect is this!💗💖 We would love to talk with you about getting you in our eye wear and on our main page xoxo5thavenue 😎🎉 Just check my link and submit the form so we can get featured started 😎 Talk soon lovely! xo","art","ENGLISH "
"Amazing picture 😍","art","ENGLISH "
"You have done an AMAZING work! 📸🔥🔝","art","ENGLISH "
"Absolutely gorgeous 💓✨","art","ENGLISH "
"Wow💖","art","ENGLISH "
"Very subtle detail but it works really well! How long does this kind of think take you?😍🔥👏🏽","art","ENGLISH "
"That’s absolutely beautiful!","art","ENGLISH "
"👏","art","ENGLISH "
"Pięknie 😍","art","POLISH "
"Przepiekna ❤️😍","art","POLISH "
"🙈🙈🙈💖💖💖💖","art","ENGLISH "
"Omg! Piękne zdjęcie i piękna Ty 😍 wow!","art","POLISH "
"❤️❤️❤️❤️","art","ENGLISH "
"Śliczna💔","art","POLISH "
"przepiękna ❤️","art","POLISH "
"Pritty","art","ENGLISH "
"I saw your photos and loved what I saw!Let's support each other with a follow, I wanna see more of your content!🔥😍","art","ENGLISH "
"Lalunka ❣️","art","HAUSA "
"cuando el humano es más lindo que el paisaje","art","SPANISH "
"Gorgeous🔥","art","ENGLISH "
"beautiful💙","art","ENGLISH "
"👌🏽💥","art","ENGLISH "
"So dope👌🏼","art","ENGLISH "
"☀","art","ENGLISH "
"Great","art","ENGLISH "
"* .¸. *
¸. •'¸. • * ¨) ¸. • * ¨)
(¸. • '(¸. •'. • ¸¸. • ¨¯` • آپم
_____ **** __________ ****
___ *** ____ *** ____ *** __ ***
__ *** ________ **** _______ ***
_ *** __________ ** _________ ***
_ *** _____________________ ***
_ *** _____________________ ***
__ *** ____________________ ***
___ *** _________________ ***
____ *** ______________ ***
خنده با ما تجربه کن💓","art","PERSIAN "
"👌👌","art","ENGLISH "
"ماشا الله بسياررررزيبا","art","ARABIC "
"دستمریزاد🌹🌹🌹","art","PERSIAN "
"Love this!!!! :) Send us a quick message!","art","ENGLISH "
"🇦🇿ADNSU🇹🇷 aid  yeni-yeni məlumatlar və yumor tipli paylaşımlar üçün səhifəyə buyurub baxa bilərsiz...😏😏(avtocomment)","art","AZERBAIJANI "
"Amin🌹❤️","art","ENGLISH "
"🍃🌸🌹","art","ENGLISH "
"🤙","art","ENGLISH "
"جان سمایی","art","ENGLISH "
"قارداشم😍😍😍😘","art","ENGLISH "
"😍👍❤️","art","ENGLISH "
"❤","art","ENGLISH "
"👑","art","ENGLISH "
"📸","art","ENGLISH "
"🙌","art","ENGLISH "
"❤️❤️khoshtip❤️❤️#ba maram❤️","art","HINDI "
"عالييييي داداش😍","art","PERSIAN "
"💖💖💖👌🏿👌🏿👌🏿","art","ENGLISH "
"F l i p o","art","ENGLISH "
"Bomba !!! Muy buen trabajo 🙌🏽","art","SPANISH "
"Vaya pasada","art","SPANISH "
"Cada vez más brutal 😱","art","SPANISH "
"Sigue así 🙌","art","SPANISH "
"WoW qué pasada","art","SPANISH "
"Oh y el elefante de la pasion de San Antonio 😍","art","SPANISH "
"Booooom💣 bestial tío!🤘","art","SPANISH "
"Yassss #Dali","art","BULGARIAN "
"Espectacular !!!!! Te superas cada vez .","art","BULGARIAN "
"Menuda pasada!!!!!! 😍😍❤️❤️","art","SPANISH "
"Artista 🙌🏻","art","SPANISH "
"Mi e dorrr","art","ITALIAN "
"👍👍👍😀!!","art","ENGLISH "
"Sweet","art","ENGLISH "
"Вау🔥","art","RUSSIAN "
"Вау♥️ очень красивая♥️","art","RUSSIAN "
"Wunderschönes Bild💖Liebe es💕💕💕","art","GERMAN "
"Sooo fesch 🤗","art","ENGLISH "
"Love🌱🙌","art","ENGLISH "
"Nice 👌🏻👌🏻😎","art","ENGLISH "
"This is another stunning shot I see here. Inspiring photos, I am sincere.","art","ENGLISH "
"Hot picture for sure","art","ENGLISH "
"That's a pretty good one. Actually I think your recent photos are really good. I will be waiting for your next photo 😊✋","art","ENGLISH "
"Maquillas bien chido :0","art","SPANISH "
"Amazing post! 🙂","art","ENGLISH "
"great post! 😊👍","art","ENGLISH "
"This is honestly so amazing and beautiful you did so great on it! Especially with the reflection love it! 💕","art","ENGLISH "
"Your photo is amazing 😎","art","ENGLISH "
"Möhtəşəm 🖤","art","AZERBAIJANI "
"😻💞","art","ENGLISH "
"💙🔥","art","ENGLISH "
"My big boy!! 😍😍","art","ENGLISH "
"Great post bro 💪🏻","art","ENGLISH "
"Je fond il est génial 😭","art","FRENCH "
"Incroyable 👀🔥","art","FRENCH "
"Mais c’est que c’est pas mal ça 😉","art","FRENCH "
"Alors celui-là, il est pour moi !!! Il est si bien 💥👌","art","FRENCH "
"Wow!","art","ENGLISH "
"I just had a look at your photos. Your perspective is normal but composition is great! Just wanted to say 😉✌","art","ENGLISH "
"🙏🏿","art","ENGLISH "
"Your content is an inspiration","art","ENGLISH "
"Driteza ime bukur 😍😍❤","art","ALBANIAN "
"🌹😍😍","art","ENGLISH "
"😍🌹💜","art","ENGLISH "
"😻✨🌹","art","ENGLISH "
"Send us a DM👊","art","ENGLISH "
"Your picture looks stylish!!!","art","ENGLISH "
"Hermosa!!!","art","ENGLISH "
"Muy buena. Excelente👌","art","SPANISH "
"Esaaa fotaza amiga 👏👏👏","art","SPANISH "
"Nice 📸🔥","art","ENGLISH "
"Fantástica! 👏👏👏👏","art","SPANISH "
"👌","art","ENGLISH "
"Buenísima!","art","SPANISH "
"Magnificent shot 😍👏👏👏👏","art","ENGLISH "
"Muy linda!!","art","SPANISH "
"Szypka dziewczyna 😂❤️","art","POLISH "
"Oh woooow. 😍","art","ENGLISH "
"Myślałam , ze to deynn 😱❤️😍","art","POLISH "
"A tutaj kto zrobił zdjęcie 😁😁","art","POLISH "
"Fajne😻","art","POLISH "
"Wowwwww boskoooooo❤️💋💋❤️💋","art","DUTCH "
"Megaaaa 😍😎❤️❤️","art","FINNISH "
"Chyba nie tęsknisz za polska bo kolory pomyliłaś 😭😂❤️","art","POLISH "
"👍","art","ENGLISH "
"✳️Hey take a closer look at our brand new solution against empty cell phone batteries ✳️
⚠️New product trailer ⚠️","art","ENGLISH "
"yess","art","ENGLISH "
"Such a great Snap! Like your feed!","art","ENGLISH "
"L4l","art","IGBO "
"Ślicznie 🌸","art","POLISH "
"l4l","art","IGBO "
"فوق العادس","art","PERSIAN "
"دوست من اگر فالوورای اینستات کمه و میخای پیجتو پر مخاطب کنی به آدرس زیر برو وسفارشتو ثبت کن
www.deltafollower.ir","art","PERSIAN "
"درود بر همسرنازنین وهنرمندم .","art","PERSIAN "
"من که باشم که برآن خاطر عاطر گذرم 👏👏👏👏👏👏👏👏","art","PERSIAN "
"😁","art","ENGLISH "
"🎥SUPER 🔲🔝","art","ENGLISH "
"Very nice really","art","ENGLISH "
"The combination of the flame and the tears is so high iq","art","ENGLISH "
"I love it!!! 👏","art","ENGLISH "
"This is just💓","art","ENGLISH "
"Explains every relationship I've ever had","art","ENGLISH "
"Ama sana çok benziyor😂","art","TURKISH "
"Çok başarılı👏🏻👏🏻👏🏻💫!..","art","TURKISH "
"Harika elinize sağlık","art","TURKISH "
"Ellerinize saglik 🙏🏻","art","TURKISH "
"Elinize sağlık 🤗🧡","art","TURKISH "
"Absolutely Stunning!!💥😱❤️Love Your Feed. 😊🌹","art","ENGLISH "
"Çokkk güzel olmuş ellerine  sağlık 😊😊😊 #severussnape 🌹🌹🌹","art","TURKISH "
"Snape 👍👍","art","ENGLISH "
"Süper olmuş 👏😍👌Always... Severus Snape candır 👌","art","TURKISH "
"Harika çalışma, elinize emeğinize sağlık 👏👏😍","art","TURKISH "
"Elinize sağlık güzel bir çalışma 😊👏","art","TURKISH "
"👏👏👏👏👏 ellerine emegine saglikkk🔥🔥 cok hos olmus","art","TURKISH "
"Çok güzel bir çalışma elinize sağlık 👍","art","TURKISH "
"Elinize sağlık çok güzel olmuş Soner Bey 👏👏👏","art","TURKISH "
"Harika bir çalışma olmuş elinize sağlık 🎨☺️👏🏼🌷","art","TURKISH "
"Elinize sağlık 👏👏🤗","art","TURKISH "
"Güzel bir çalışma tebrik ederim👏👏👏👏👏👏👏","art","TURKISH "
"eline sağlık guzel çalışma olmuş tebrikler👏👏👏👏👍🤗","art","TURKISH "
"Ooo eline sağlık çok güzel 🌻🌻🌻","art","TURKISH "
"Harika bir çalışma, tebrikler. 🌞🌻🍇","art","TURKISH "
"Çok güzel olmuş elinize sağlık 🤗","art","TURKISH "
"Elinize sağlık ✍️🙏Çok iyi olmuş 👌👌","art","TURKISH "
"Mükemmel🤗emeğine ellerine sağlık😍","art","TURKISH "
"👌elinize sağlık Soner ☄🌟","art","TURKISH "
"Süper olmuş valla","art","TURKISH "
"Gözümde canlanır koskoca mazi","art","TURKISH "
"👏🏻👏🏻👏🏻","art","ENGLISH "
"INCREÍBLE 😱😘❤️👌","art","SPANISH "
"👏🏻👏🏻👏🏻👏🏻","art","ENGLISH "
"Que bonito..","art","PORTUGUESE "
"M’encanta!!!!","art","CATALAN "
"Que pasada!!😍","art","SPANISH "
"Que elegancia chato 👌","art","SPANISH "
"Outfit 👌🏿","art","ENGLISH "
"Nice style 🔝🙌","art","ENGLISH "
"Очень красивая😍","art","RUSSIAN "
"Hermosa 😍😍😍😘","art","ENGLISH "
"🌷🙏","art","ENGLISH "
"Нет, мои лучшие)","art","RUSSIAN "
"Love your  photo , its  miraculous ! Support ~ 😄","art","ENGLISH "
"🤗👌💃🏻","art","ENGLISH "
"du swagger 😂","art","ENGLISH "
"069 Terry am start","art","ENGLISH "
"Wonderfulada 🌈","art","ENGLISH "
"Beautiful","art","ENGLISH "
"Impresionante!","art","SPANISH "
"😍👏🏻","art","ENGLISH "
"FANTASÍA 💕","art","SPANISH "
"💖💛💙 orgasmo","art","PORTUGUESE "
"💗💗💗💗💕💕💕💝💝💝💝","art","ENGLISH "
"Az se rozmnozi zamlouvam si tu nejhezci female semetriku aby ty dva dala trosku do late 😂😍❤️","art","CZECH "
"Excellent. 🍀","art","ENGLISH "
"So gorgeous 💕","art","ENGLISH "
"Wow","art","ENGLISH "
"Respect :D","art","ENGLISH "
"And yet, so talented 😉.","art","ENGLISH "
"Go go go!  Don’t miss this!","art","ENGLISH "
"Aşık oldum 😭❤️","art","TURKISH "
"Spectacular","art","ENGLISH "
"Nice&cool","art","ENGLISH "
"Awesome!💓Nice shot 💖💞💘","art","ENGLISH "
"Nice ...","art","ENGLISH "
"<3","art","ENGLISH "
"How did I miss that? 💙","art","ENGLISH "
"Hey! We saw your feed and think you would be fit well with our brand. Please send us a message for more details :)","art","ENGLISH "
"Jolie 😍😘","art","ENGLISH "
"Magnifique photo, encore une fois 😍","art","FRENCH "
"Wow looks awesome so beautiful😍😍😍","art","ENGLISH "
"👍👏👏👏📸💯 Buona serata carissima 🙋🏻‍♂️😘🌹🌹","art","ITALIAN "
"Meraviglioso","art","ITALIAN "
"Ciao Ire....😘🤗","art","ITALIAN "
"Qui poco prima di pranzo ha cominciato a piovere e non ha mai smesso 😭😭 Bellissimo tramonto 😍😍😍 Buonanotte tesoro ❤️❤️❤️🌟🌠🌜😙","art","ITALIAN "
"Ed un tramonto che mette in pace con sé stessi 😍 buona serata Irene 🤗🌺","art","ITALIAN "
"Certo  che la domenica è  finita in  bellezza con un tramonto incantevole 🌹🌹..Buona serata cara Irene ❤️❤️❤️","art","ITALIAN "
"Intanto ci rallegriamo con il tuo bellissimo tramonto Irene... 😍😍😍😍👏👏👏👏sembra che piova ancora fino a mercoledì ☹️ buonanotte tesoro 🌛💞💞💞💞😘😘😘😘😘🌻🌻🌻🌻🌻","art","ITALIAN "
"Però un bel tramonto 🌅lo hai scattato😍cara Irene.  Brava🤗!!! qui piove ☔🌧️ininterrottamente da ieri, avremmo ancora pazienza 😤fai una buona serata ❤️🌟😘","art","ITALIAN "
"Dobbiamo aver pazienza 😉😉😉è la virtù dei saggi😉😉😉😉🤗un bacione da Torino ciao Dany ❤️😘😘😘😘😘","art","ITALIAN "
"👏💯💯💯","art","ENGLISH "
"Bellissimo tramonto 👏👏👏Buona serata Irene 🙋‍♂️🙋‍♂️🙋‍♂️","art","ITALIAN "
"Bellissima 💥💙","art","ITALIAN "
"Però il tramonto è bellissimo Irene 😍😍😍 qui niente, grigio su tutti i fronti! 😫😫 serena notte carissima 😘😘🙋‍♀️✨⭐✨🌛✨⭐","art","ITALIAN "
"lovely ;)","art","ENGLISH "
"😍😍👍👍👏👏Notte 🌙","art","ITALIAN "
"Bellísima 💯 buenas noches querida amiga ✨💙🌟💙⭐😍😘😘","art","SPANISH "
"I tuoi amatissimi cieli 🙌🙌🙌💙💙💙💙","art","ITALIAN "
"Buona serata Irene 😁🙋‍♂️🙋‍♂️🙋‍♂️","art","ITALIAN "
"splendido tramonto, Irene.. almeno questo ripaga dal grigiore😍😍un abbraccio cara, buonanotte 😘❤️","art","ITALIAN "
"👌😊","art","ENGLISH "
"💕","art","ENGLISH "
"Beautiful 😘","art","ENGLISH "
"Lmao","art","ENGLISH "
"👍😍","art","ENGLISH "
"Faktycznie przyjarana! Trzeba było oddać zamówienie 👍😁","art","POLISH "
"Magic place ✨","art","ENGLISH "
"Gorgeous","art","ENGLISH "
"Şahane ✨👌🏼👌🏼","art","TURKISH "
"Your photos are incredible!!!!","art","ENGLISH "
"Şahane😍","art","TURKISH "
"So beautiful 😍","art","ENGLISH "
"❤❤🙏","art","ENGLISH "
"Şahane olmuş","art","TURKISH "
"💐🤙💋❤️🙏🎸👌🏻🌹💁‍♀️👨‍👩‍👧🏄‍♂️","art","ENGLISH "
"That's stunning! 😍","art","ENGLISH "
"Çok güzel açı.. eline sağlık","art","TURKISH "
"in love ❤️","art","ENGLISH "
"Really. Good pic.","art","ENGLISH "
"This is a perfect frame dear 💕 . You are so amazing 🤗.","art","ENGLISH "
"Awesome👏👏👍😍🐞","art","ENGLISH "
"her zaman ki gibi olağanüstü🤩","art","TURKISH "
"Amazing photo","art","ENGLISH "
"Woww so good 🔥🔥","art","ENGLISH "
"Wow💜","art","ENGLISH "
"Beautiful picture, I would appreciate it if you checked out my work 🙂 Have a good day!","art","ENGLISH "
"Love this! 🖤","art","ENGLISH "
"You're crazy talented!","art","ENGLISH "
"That's cool 😎👌👍❤","art","ENGLISH "
"I really love this piece 😍😍","art","ENGLISH "
"This is insane.....such badass incredible work brother 🤟🔥","art","ENGLISH "
"This is absolutely incredible","art","ENGLISH "
"I absolutely love this thank you so much for the cool artwork dude!💕","art","ENGLISH "
"That is so badass glad to see you have some time to draw again I missed these masterpieces","art","ENGLISH "
"Love it","art","ENGLISH "

"Que coisa mais linda ♥️","art","PORTUGUESE "
"Que fofinho 😍😍❤️","art","PORTUGUESE "
"Iti malia","art","ROMANIAN "
"😻😻😻","art","ENGLISH "
"Woh! Nice work! Keep it up! 😁❤️💪","art","ENGLISH "
"Great!!","art","ENGLISH "
"💟 Love This! 💟","art","ENGLISH "
"Amazing caption!","art","ENGLISH "
"Perfectly👌❤️","art","ENGLISH "
"ok mood","art","ENGLISH "
"Ваааааау💙","art","SERBIAN "
"Вот это глубина... с нетерпением буду ждать готовую работу,но то что я вижу уже захватывает💜💜","art","RUSSIAN "
"wow! so much details","art","ENGLISH "
"Волшебные глаза 😍","art","RUSSIAN "
"Блин Че такие красивые цвета?😍","art","RUSSIAN "
"Я так не привыкла к голубаглазому чонгуку","art","RUSSIAN "
"I love this post❤️","art","ENGLISH "
"Hey! We love your feed and would love you to rep our brand. Send us a dm for details!","art","ENGLISH "
"OUSHHH THESEE DETAILSSSSS 💫💍💎","art","ENGLISH "
"🖤🖤🖤🖤💞💞💞😭😭 Omggg","art","NORWEGIAN "
"😍😍😍","art","ENGLISH "
"Niceee 😍","art","ENGLISH "
"You're so talented 😻 I mean your dancing is amazing and this is... Wow 🤩","art","ENGLISH "
"You really out here being this talented 🤧","art","ENGLISH "
"your drawing is beautiful, could you follow me and enjoy my last public please?","art","ENGLISH "
"DopestyleBrother👍💣","art","ENGLISH "
"💎💎💎","art","ENGLISH "
"Hey! Nice gallery you have 😊 I mean I liked it 👌","art","ENGLISH "
"Grande!!! 👊🏻🔥💣","art","PORTUGUESE "
"🙌🙌🙌","art","ENGLISH "
"💥🔥🌹","art","ENGLISH "
"🔥🔥🔥","art","ENGLISH "
"🚂🚃🚃🚃⛺️🧟‍♂️👋👋👊💣💥","art","ENGLISH "
"🤙🏻🤙🏻🤙🏻","art","ENGLISH "
"👊👊👊","art","ENGLISH "
"💛🧡💙❤️","art","ENGLISH "
"Bomba Mauri 🔥🔥🔥","art","ITALIAN "
"💥🔨","art","ENGLISH "
"🔥🔥🔥🔥","art","ENGLISH "
"Gataaaa ❤️","art","MAORI "
"Que Diva! Linda","art","SPANISH "
"Maravilhosaaaaaa❤️","art","PORTUGUESE "
"Liiindaaaa🎉","art","HAWAIIAN "
"Nice😍","art","ENGLISH "
"😍wow","art","ENGLISH "
"Hello! 😉 
We really like your photo and style and we would be interested to talk about you about collaboration opportunity. If you are interested please write me privately. 😊!!","art","ENGLISH "
"C’est hyper beau 🤩","art","FRENCH "
"Awesome","art","ENGLISH "

"Que coisa mais linda ♥️","art","PORTUGUESE "
"Que fofinho 😍😍❤️","art","PORTUGUESE "
"Iti malia","art","ROMANIAN "
"😻😻😻","art","ENGLISH "
"Woh! Nice work! Keep it up! 😁❤️💪","art","ENGLISH "
"Great!!","art","ENGLISH "
"💟 Love This! 💟","art","ENGLISH "
"Amazing caption!","art","ENGLISH "
"Perfectly👌❤️","art","ENGLISH "
"ok mood","art","ENGLISH "
"Ваааааау💙","art","SERBIAN "
"Вот это глубина... с нетерпением буду ждать готовую работу,но то что я вижу уже захватывает💜💜","art","RUSSIAN "
"wow! so much details","art","ENGLISH "
"Волшебные глаза 😍","art","RUSSIAN "
"Блин Че такие красивые цвета?😍","art","RUSSIAN "
"Я так не привыкла к голубаглазому чонгуку","art","RUSSIAN "
"I love this post❤️","art","ENGLISH "
"Hey! We love your feed and would love you to rep our brand. Send us a dm for details!","art","ENGLISH "
"OUSHHH THESEE DETAILSSSSS 💫💍💎","art","ENGLISH "
"🖤🖤🖤🖤💞💞💞😭😭 Omggg","art","NORWEGIAN "
"😍😍😍","art","ENGLISH "
"Niceee 😍","art","ENGLISH "
"You're so talented 😻 I mean your dancing is amazing and this is... Wow 🤩","art","ENGLISH "
"You really out here being this talented 🤧","art","ENGLISH "
